PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_DOMAIN;REQUIREMENTS_ATTRIBUTES_SUBDOMAIN;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_PURPOSE;REQUIREMENTS_ATTRIBUTES_ACTIONPLAN;REQUIREMENTS_ATTRIBUTES_AUDITCHECKLIST;REQUIREMENTS_ATTRIBUTES_RELATEDREGULATIONS;REQUIREMENTS_ATTRIBUTES_AUDITEVIDENCE;REQUIREMENTS_ATTRIBUTES_NONCOMPLIANCECASES;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED
aws;ISMS-P 인증은 한국인터넷진흥원(KISA)이 제정한 정보보호 및 개인정보보호 관리체계를 기반으로, 독립적인 심사기관이 기업이나 조직의 보안 및 개인정보 보호 활동이 인증 기준을 충족하는지 평가한 후 인증을 부여하는 제도입니다. 이를 통해 기업과 기관은 제공하는 서비스에 대한 대중의 신뢰를 높이고, 점점 복잡해지는 사이버 위협에 효과적으로 대응할 수 있습니다. 또한, ISMS-P는 정보보호와 개인정보 보호를 체계적으로 수립하고 운영할 수 있는 포괄적인 지침을 제공합니다.;311278774159;ap-northeast-2;2025-07-09 05:17:29.653859;2.5.6;접근권한 검토;정보시스템과 개인정보 및 중요정보에 접근하는 사용자 계정의 등록·이용·삭제 및 접근권한의 부여·변경·삭제 이력을 남기고 주기적으로 검토하여 적정성 여부를 점검하여야 한다.;2. 보호대책 요구사항;2.5. 인증 및 권한관리;2.5.6 접근권한 검토;['IAM Access Analyzer가 활성화되어 있는지 확인합니다.'];['IAM Access Analyzer가 활성화되어 있는지 확인'];['정보시스템과 개인정보 및 중요정보에 대한 사용자 계정 및 접근권한 생성·등록·부여 및 이용·변경·말소 등의 이력을 남기고 있는가?', '정보시스템과 개인정보 및 중요정보에 대한 사용자 계정 및 접근권한의 적정성 검토 기준, 검토주체, 검토방법, 주기 등을 수립하여 정기적 검토를 이행하고 있는가?', '접근권한 검토 결과 접근권한 과다 부여, 권한부여 절차 미준수, 권한 오·남용 등 문제점이 발견된 경우 그에 따른 조치절차를 수립·이행하고 있는가?'];['개인정보 보호법 제29조(안전조치의무)', '개인정보의 안전성 확보조치 기준 제5조(접근 권한의 관리)'];['접근권한 검토 기준 및 절차', '접근권한 검토 이력', '접근권한 검토 결과보고서 및 후속조치 내역'];['사례 1 : 접근권한 검토와 관련된 방법, 점검주기, 보고체계, 오·남용 기준 등이 관련 지침에 구체적으로 정의되어 있지 않아 접근권한 검토가 정기적으로 수행되지 않은 경우', '사례 2 : 내부 정책, 지침 등에 장기 미사용자 계정에 대한 잠금(비활성화) 또는 삭제 조치하도록 되어 있으나, 6개월 이상 미접속한 사용자의 계정이 활성화되어 있는 경우(접근권한 검토가 충실히 수행되지 않아 해당 계정이 식별되지 않은 경우)', '사례 3 : 접근권한 검토 시 접근권한의 과다 부여 및 오·남용 의심사례가 발견되었으나, 이에 대한 상세조사, 내부보고 등의 후속조치가 수행되지 않은 경우'];FAIL;IAM Access Analyzer in account 311278774159 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:311278774159:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False
aws;ISMS-P 인증은 한국인터넷진흥원(KISA)이 제정한 정보보호 및 개인정보보호 관리체계를 기반으로, 독립적인 심사기관이 기업이나 조직의 보안 및 개인정보 보호 활동이 인증 기준을 충족하는지 평가한 후 인증을 부여하는 제도입니다. 이를 통해 기업과 기관은 제공하는 서비스에 대한 대중의 신뢰를 높이고, 점점 복잡해지는 사이버 위협에 효과적으로 대응할 수 있습니다. 또한, ISMS-P는 정보보호와 개인정보 보호를 체계적으로 수립하고 운영할 수 있는 포괄적인 지침을 제공합니다.;311278774159;ap-northeast-2;2025-07-09 05:17:29.653859;2.6.4;데이터베이스 접근;테이블 목록 등 데이터베이스 내에서 저장·관리되고 있는 정보를 식별하고, 정보의 중요도와 응용프로그램 및 사용자 유형 등에 따른 접근통제 정책을 수립·이행하여야 한다.;2. 보호대책 요구사항;2.6. 접근통제;2.6.4 데이터베이스 접근;['조직 또는 계정 단위에서 Access Analyzer가 활성화되어 있는지 여부를 점검합니다. 설정되어 있지 않으면 외부 접근 권한 탐지가 불가합니다.'];['Access Analyzer 자체가 비활성화되어 있는 경우 탐지하고 알림'];['데이터베이스의 테이블 목록 등 저장·관리되고 있는 정보를 식별하고 있는가?', '데이터베이스 내 정보에 접근이 필요한 응용프로그램, 정보시스템(서버) 및 사용자를 명확히 식별하고 접근통제 정책에 따라 통제하고 있는가?'];['개인정보 보호법 제29조(안전조치의무)', '개인정보의 안전성 확보조치 기준 제5조(접근권한의 관리)', '제6조(접근통제)'];['데이터베이스 현황(테이블, 컬럼 등)', '데이터베이스 접속자 계정·권한 목록', '데이터베이스 접근제어 정책(데이터베이스 접근제어시스템 관리화면 등)', '네트워크 구성도(데이터베이스존 등)', '정보자산 목록'];['사례 1 : 대량의 개인정보를 보관·처리하고 있는 데이터베이스를 인터넷을 통하여 접근 가능한 웹 응용프로그램과 분리하지 않고 물리적으로 동일한 서버에서 운영하고 있는 경우', '사례 2 : 개발자 및 운영자들이 응응 프로그램에서 사용하고 있는 계정을 공유하여 운영 데이터베이스에 접속하고 있는 경우', '사례 3 : 내부 규정에는 데이터베이스의 접속권한을 오브젝트별로 제한하도록 되어 있으나, 데이터베이스 접근권한을 운영자에게 일괄 부여하고 있어 개인정보 테이블에 접근할 필요가 없는 운영자에게도 과도하게 접근 권한이 부여된 경우', '사례 4 : 데이터베이스 접근제어 솔루션을 도입하여 운영하고 있으나, 데이터베이스 접속자에 대한 IP주소 등이 적절히 제한되어 있지 않아 데이터베이스 접근제어 솔루션을 우회하여 데이터베이스에 접속하고 있는 경우', '사례 5 : 개인정보를 저장하고 있는 데이터베이스의 테이블 현황이 파악되지 않아, 임시로 생성된 테이블에 불필요한 개인정보가 파기되지 않고 대량으로 저장되어 있는 경우'];FAIL;IAM Access Analyzer in account 311278774159 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:311278774159:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False
aws;ISMS-P 인증은 한국인터넷진흥원(KISA)이 제정한 정보보호 및 개인정보보호 관리체계를 기반으로, 독립적인 심사기관이 기업이나 조직의 보안 및 개인정보 보호 활동이 인증 기준을 충족하는지 평가한 후 인증을 부여하는 제도입니다. 이를 통해 기업과 기관은 제공하는 서비스에 대한 대중의 신뢰를 높이고, 점점 복잡해지는 사이버 위협에 효과적으로 대응할 수 있습니다. 또한, ISMS-P는 정보보호와 개인정보 보호를 체계적으로 수립하고 운영할 수 있는 포괄적인 지침을 제공합니다.;311278774159;ap-northeast-2;2025-07-09 05:17:29.653859;2.8.1;보안 요구사항 정의;정보시스템의 도입·개발·변경 시 정보보호 및 개인정보보호 관련 법적 요구사항, 최신 보안취약점, 안전한 코딩방법 등 보안 요구사항을 정의하고 적용하여야 한다.;2. 보호대책 요구사항;2.8. 정보시스템 도입 및 개발 보안;2.8.1 보안 요구사항 정의;['외부에 노출된 IAM 리소스 탐지 기능(AWS Access Analyzer) 활성화 여부 점검'];['IAM Access Analyzer 비활성 계정 또는 리전 식별 후 자동 활성화 적용'];['정보시스템을 신규로 도입·개발 또는 변경하는 경우 정보보호 및 개인정보보호 측면의 타당성 검토 및 인수 절차를 수립·이행하고 있는가?', '정보시스템을 신규로 도입·개발 또는 변경하는 경우 법적 요구사항, 최신 취약점 등을 포함한 보안 요구사항을 명확히 정의하고 설계 단계에서부터 반영하고 있는가?', '정보시스템의 안전한 구현을 위한 코딩 표준을 수립하여 적용하고 있는가?'];[];['정보시스템 인수 기준 및 절차', '정보시스템 도입 RFP(제안요청서) 및 구매계약서', '개발 산출물(사업수행계획서, 요구사항정의서, 화면설계서, 보안아키텍처 설계서, 시험계획서 등)', '시큐어 코딩 표준'];['사례 1 : 정보시스템 인수 전 보안성 검증 기준 및 절차가 마련되어 있지 않은 경우', '사례 2 : 신규 시스템 도입 시 기존 운영환경에 대한 영향 및 보안성을 검토하도록 내부 규정을 마련하고 있으나, 최근 도입한 일부 정보시스템에 대하여 인수 시 보안요건에 대해 세부 기준 및 계획이 수립되지 않았으며, 이에 따라 인수 시 보안성검토가 수행되지 않은 경우', '사례 3 : 개발 관련 내부 지침에 개발과 관련된 주요 보안 요구사항(인증 및 암호화, 보안로그 등)이 정의되어 있지 않은 경우', '사례 4 : ʻ개발표준정의서ʼ에 사용자 패스워드를 안전하지 않은 암호화 알고리즘(MD5, SHA1)으로 사용하도록 되어 있어 관련 법적 요구사항을 적절히 반영하지 않는 경우'];FAIL;IAM Access Analyzer in account 311278774159 is not enabled.;arn:aws:accessanalyzer:ap-northeast-2:311278774159:analyzer/unknown;analyzer/unknown;accessanalyzer_enabled;False
aws;ISMS-P 인증은 한국인터넷진흥원(KISA)이 제정한 정보보호 및 개인정보보호 관리체계를 기반으로, 독립적인 심사기관이 기업이나 조직의 보안 및 개인정보 보호 활동이 인증 기준을 충족하는지 평가한 후 인증을 부여하는 제도입니다. 이를 통해 기업과 기관은 제공하는 서비스에 대한 대중의 신뢰를 높이고, 점점 복잡해지는 사이버 위협에 효과적으로 대응할 수 있습니다. 또한, ISMS-P는 정보보호와 개인정보 보호를 체계적으로 수립하고 운영할 수 있는 포괄적인 지침을 제공합니다.;311278774159;ap-northeast-2;2025-07-09 05:17:29.653859;2.1.3;정보자산 관리;정보자산의 용도와 중요도에 따른 취급 절차 및 보호대책을 수립·이행하고, 자산별 책임소재를 명확히 정의하여 관리하여야 한다.;2. 보호대책 요구사항;2.1. 정책, 조직, 자산 관리;2.1.3 정보자산 관리;['계정의 기본 연락처(이메일, 전화번호)가 최신인지 확인하여 보안 사고나 청구 문제 발생 시 AWS의 연락이 가능하도록 보장'];['AWS 계정의 기본 연락처 정보가 최신인지 확인하고 오래된 연락처 또는 미기입 시 경고'];['정보자산의 보안등급에 따른 취급절차(생성·도입, 저장, 이용, 파기) 및 보호대책을 정의하고 이행하고 있는가?', '식별된 정보자산에 대하여 책임자 및 관리자를 지정하고 있는가?'];[];['정보자산 목록(책임자, 담당자 지정)', '정보자산 취급 절차(문서, 정보시스템 등)', '정보자산 관리 시스템 화면', '정보자산 보안등급 표시 내역'];['사례 1 : 내부 지침에 따라 문서에 보안등급을 표기하도록 되어 있으나, 이를 표시하지 않은 경우', '사례 2 : 정보자산별 담당자 및 책임자를 식별하지 않았거나, 자산목록 현행화가 미흡하여 퇴직, 전보 등 인사이동이 발생하여 주요 정보자산의 담당자 및 책임자가 변경되었음에도 이를 식별하지 않은 경우', '사례 3 : 식별된 정보자산에 대한 중요도 평가를 실시하여 보안등급을 부여하고 정보 자산목록에 기록하고 있으나, 보안등급에 따른 취급절차를 정의하지 않은 경우'];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::311278774159:root;311278774159;account_maintain_current_contact_details;False
aws;ISMS-P 인증은 한국인터넷진흥원(KISA)이 제정한 정보보호 및 개인정보보호 관리체계를 기반으로, 독립적인 심사기관이 기업이나 조직의 보안 및 개인정보 보호 활동이 인증 기준을 충족하는지 평가한 후 인증을 부여하는 제도입니다. 이를 통해 기업과 기관은 제공하는 서비스에 대한 대중의 신뢰를 높이고, 점점 복잡해지는 사이버 위협에 효과적으로 대응할 수 있습니다. 또한, ISMS-P는 정보보호와 개인정보 보호를 체계적으로 수립하고 운영할 수 있는 포괄적인 지침을 제공합니다.;311278774159;ap-northeast-2;2025-07-09 05:17:29.653859;2.1.3;정보자산 관리;정보자산의 용도와 중요도에 따른 취급 절차 및 보호대책을 수립·이행하고, 자산별 책임소재를 명확히 정의하여 관리하여야 한다.;2. 보호대책 요구사항;2.1. 정책, 조직, 자산 관리;2.1.3 정보자산 관리;['보안, 청구, 운영 연락처가 각기 다른 부서 또는 담당자에게 분리되어 등록되어 있는지 확인. 실무 대응력을 높이기 위함'];['보안, 청구, 운영 연락처가 동일한 경우 분리 관리 원칙에 따라 개별 지정이 되었는지 점검'];['정보자산의 보안등급에 따른 취급절차(생성·도입, 저장, 이용, 파기) 및 보호대책을 정의하고 이행하고 있는가?', '식별된 정보자산에 대하여 책임자 및 관리자를 지정하고 있는가?'];[];['정보자산 목록(책임자, 담당자 지정)', '정보자산 취급 절차(문서, 정보시스템 등)', '정보자산 관리 시스템 화면', '정보자산 보안등급 표시 내역'];['사례 1 : 내부 지침에 따라 문서에 보안등급을 표기하도록 되어 있으나, 이를 표시하지 않은 경우', '사례 2 : 정보자산별 담당자 및 책임자를 식별하지 않았거나, 자산목록 현행화가 미흡하여 퇴직, 전보 등 인사이동이 발생하여 주요 정보자산의 담당자 및 책임자가 변경되었음에도 이를 식별하지 않은 경우', '사례 3 : 식별된 정보자산에 대한 중요도 평가를 실시하여 보안등급을 부여하고 정보 자산목록에 기록하고 있으나, 보안등급에 따른 취급절차를 정의하지 않은 경우'];FAIL;SECURITY, BILLING and OPERATIONS contacts not found or they are not different between each other and between ROOT contact.;arn:aws:iam::311278774159:root;311278774159;account_maintain_different_contact_details_to_security_billing_and_operations;False
aws;ISMS-P 인증은 한국인터넷진흥원(KISA)이 제정한 정보보호 및 개인정보보호 관리체계를 기반으로, 독립적인 심사기관이 기업이나 조직의 보안 및 개인정보 보호 활동이 인증 기준을 충족하는지 평가한 후 인증을 부여하는 제도입니다. 이를 통해 기업과 기관은 제공하는 서비스에 대한 대중의 신뢰를 높이고, 점점 복잡해지는 사이버 위협에 효과적으로 대응할 수 있습니다. 또한, ISMS-P는 정보보호와 개인정보 보호를 체계적으로 수립하고 운영할 수 있는 포괄적인 지침을 제공합니다.;311278774159;ap-northeast-2;2025-07-09 05:17:29.653859;2.1.3;정보자산 관리;정보자산의 용도와 중요도에 따른 취급 절차 및 보호대책을 수립·이행하고, 자산별 책임소재를 명확히 정의하여 관리하여야 한다.;2. 보호대책 요구사항;2.1. 정책, 조직, 자산 관리;2.1.3 정보자산 관리;['보안 위협 발생 시 AWS가 빠르게 연락할 수 있도록 Security Contact 정보가 등록되어 있는지 점검'];['보안 위협 발생 시 AWS가 빠르게 연락할 수 있도록 Security Contact 정보가 등록되어 있는지 점검.'];['정보자산의 보안등급에 따른 취급절차(생성·도입, 저장, 이용, 파기) 및 보호대책을 정의하고 이행하고 있는가?', '식별된 정보자산에 대하여 책임자 및 관리자를 지정하고 있는가?'];[];['정보자산 목록(책임자, 담당자 지정)', '정보자산 취급 절차(문서, 정보시스템 등)', '정보자산 관리 시스템 화면', '정보자산 보안등급 표시 내역'];['사례 1 : 내부 지침에 따라 문서에 보안등급을 표기하도록 되어 있으나, 이를 표시하지 않은 경우', '사례 2 : 정보자산별 담당자 및 책임자를 식별하지 않았거나, 자산목록 현행화가 미흡하여 퇴직, 전보 등 인사이동이 발생하여 주요 정보자산의 담당자 및 책임자가 변경되었음에도 이를 식별하지 않은 경우', '사례 3 : 식별된 정보자산에 대한 중요도 평가를 실시하여 보안등급을 부여하고 정보 자산목록에 기록하고 있으나, 보안등급에 따른 취급절차를 정의하지 않은 경우'];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::311278774159:root;311278774159;account_security_contact_information_is_registered;False
aws;ISMS-P 인증은 한국인터넷진흥원(KISA)이 제정한 정보보호 및 개인정보보호 관리체계를 기반으로, 독립적인 심사기관이 기업이나 조직의 보안 및 개인정보 보호 활동이 인증 기준을 충족하는지 평가한 후 인증을 부여하는 제도입니다. 이를 통해 기업과 기관은 제공하는 서비스에 대한 대중의 신뢰를 높이고, 점점 복잡해지는 사이버 위협에 효과적으로 대응할 수 있습니다. 또한, ISMS-P는 정보보호와 개인정보 보호를 체계적으로 수립하고 운영할 수 있는 포괄적인 지침을 제공합니다.;311278774159;ap-northeast-2;2025-07-09 05:17:29.653859;2.2.1;주요 직무자 지정 및 관리;개인정보 및 중요정보의 취급이나 주요 시스템 접근 등 주요 직무의 기준과 관리방안을 수립하고, 주요 직무자를 최소한으로 지정하여 그 목록을 최신으로 관리하여야 한다.;2. 보호대책 요구사항;2.2. 인적 보안;2.2.1 주요 직무자 지정 및 관리;['보안 위협 발생 시 AWS가 빠르게 연락할 수 있도록 Security Contact 정보가 등록되어 있는지 점검'];['계정의 보안 연락처(Security contact)가 등록되어 있는지 탐지. AWS는 침해 징후 발생 시 이 연락처를 통해 긴급 대응 안내를 보냄. Custodian은 account 리소스에서 get-contact-information API로 security 항목 유무를 점검하고 누락 시 알림. 자동 수정을 위해 관리 콘솔 접근이 필요하므로 notify + tag 조치가 적합.'];['개인정보 및 중요정보의 취급, 주요 시스템 접근 등 주요 직무의 기준을 명확히 정의하고 있는가?', '주요 직무를 수행하는 임직원 및 외부자를 주요 직무자로 지정하고 그 목록을 최신으로 관리하고 있는가?', '업무상 개인정보를 취급하는 자를 개인정보취급자로 지정하고 목록을 최신으로 관리하고 있는가?', '업무 필요성에 따라 주요 직무자 및 개인정보취급자 지정을 최소화하는 등 관리방안을 수립·이행하고 있는가?'];['개인정보 보호법 제28조(개인정보취급자에 대한 감독)', '제29조(안전조치의무)', '개인정보의 안전성 확보조치 기준 제4조(내부 관리계획의 수립·시행 및 점검)'];['주요 직무 기준', '주요직무자 목록', '개인정보취급자 목록', '중요 정보시스템 및 개인정보처리시스템 계정 및 권한 관리 대장', '주요 직무자에 대한 관리 현황(교육 결과, 보안서약서 등)'];['사례 1 : 주요 직무자 명단(개인정보취급자 명단, 비밀정보관리자 명단 등)을 작성하고 있으나, 대량의 개인정보 등 중요정보를 취급하는 일부 임직원(DBA, DLP 관리자 등)을 명단에 누락한 경우', '사례 2 : 주요 직무자 및 개인정보취급자 목록을 관리하고 있으나, 퇴사한 임직원이 포함되어 있고 최근 신규 입사한 인력이 포함되어 있지 않는 등 현행화 관리가 되어 있지 않은 경우', '사례 3 : 부서 단위로 개인정보취급자 권한을 일괄 부여하고 있어 실제 개인정보를 취급할 필요가 없는 인원까지 과다하게 개인정보취급자로 지정된 경우', '사례 4 : 내부 지침에는 주요 직무자 권한 부여 시에는 보안팀의 승인을 받고 주요 직무에 따른 보안서약서를 작성하도록 하고 있으나, 보안팀 승인 및 보안서약서 작성 없이 등록된 주요 직무자가 다수 존재하는 경우'];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::311278774159:root;311278774159;account_security_contact_information_is_registered;False
aws;ISMS-P 인증은 한국인터넷진흥원(KISA)이 제정한 정보보호 및 개인정보보호 관리체계를 기반으로, 독립적인 심사기관이 기업이나 조직의 보안 및 개인정보 보호 활동이 인증 기준을 충족하는지 평가한 후 인증을 부여하는 제도입니다. 이를 통해 기업과 기관은 제공하는 서비스에 대한 대중의 신뢰를 높이고, 점점 복잡해지는 사이버 위협에 효과적으로 대응할 수 있습니다. 또한, ISMS-P는 정보보호와 개인정보 보호를 체계적으로 수립하고 운영할 수 있는 포괄적인 지침을 제공합니다.;311278774159;ap-northeast-2;2025-07-09 05:17:29.653859;2.1.3;정보자산 관리;정보자산의 용도와 중요도에 따른 취급 절차 및 보호대책을 수립·이행하고, 자산별 책임소재를 명확히 정의하여 관리하여야 한다.;2. 보호대책 요구사항;2.1. 정책, 조직, 자산 관리;2.1.3 정보자산 관리;['비밀번호 분실/계정 접근 문제 발생 시 계정 복구를 위한 보안 질문(Security Questions)이 설정되어 있는지 확인'];['계정에 보안 질문(Security Questions)이 설정되어 있어 비정상 접근 시 복구 기능이 활성화되어 있는지 확인'];['정보자산의 보안등급에 따른 취급절차(생성·도입, 저장, 이용, 파기) 및 보호대책을 정의하고 이행하고 있는가?', '식별된 정보자산에 대하여 책임자 및 관리자를 지정하고 있는가?'];[];['정보자산 목록(책임자, 담당자 지정)', '정보자산 취급 절차(문서, 정보시스템 등)', '정보자산 관리 시스템 화면', '정보자산 보안등급 표시 내역'];['사례 1 : 내부 지침에 따라 문서에 보안등급을 표기하도록 되어 있으나, 이를 표시하지 않은 경우', '사례 2 : 정보자산별 담당자 및 책임자를 식별하지 않았거나, 자산목록 현행화가 미흡하여 퇴직, 전보 등 인사이동이 발생하여 주요 정보자산의 담당자 및 책임자가 변경되었음에도 이를 식별하지 않은 경우', '사례 3 : 식별된 정보자산에 대한 중요도 평가를 실시하여 보안등급을 부여하고 정보 자산목록에 기록하고 있으나, 보안등급에 따른 취급절차를 정의하지 않은 경우'];MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;arn:aws:iam::311278774159:root;311278774159;account_security_questions_are_registered_in_the_aws_account;False
aws;ISMS-P 인증은 한국인터넷진흥원(KISA)이 제정한 정보보호 및 개인정보보호 관리체계를 기반으로, 독립적인 심사기관이 기업이나 조직의 보안 및 개인정보 보호 활동이 인증 기준을 충족하는지 평가한 후 인증을 부여하는 제도입니다. 이를 통해 기업과 기관은 제공하는 서비스에 대한 대중의 신뢰를 높이고, 점점 복잡해지는 사이버 위협에 효과적으로 대응할 수 있습니다. 또한, ISMS-P는 정보보호와 개인정보 보호를 체계적으로 수립하고 운영할 수 있는 포괄적인 지침을 제공합니다.;311278774159;ap-northeast-2;2025-07-09 05:17:29.653859;2.9.2;성능 및 장애관리;정보시스템의 가용성 보장을 위하여 성능 및 용량 요구사항을 정의하고 현황을 지속적으로 모니터링하여야 하며, 장애 발생 시 효과적으로 대응하기 위한 탐지·기록·분석·복구·보고 등의 절차를 수립·관리하여야 한다.;2. 보호대책 요구사항;2.9. 시스템 및 서비스 운영관리;2.9.2 성능 및 장애관리;['Auto Scaling 그룹이 여러 가용영역에 분산되어 있는지 확인'];['Auto Scaling 그룹에 다중 가용영역 적용으로 가용성 분산 구성'];['정보시스템의 가용성 보장을 위하여 성능 및 용량을 지속적으로 모니터링할 수 있는 절차를 수립·이행하고 있는가?', '정보시스템 성능 및 용량 요구사항(임계치)을 초과하는 경우에 대한 대응절차를 수립 및 이행하고 있는가?', '정보시스템 장애를 즉시 인지하고 대응하기 위한 절차를 수립·이행하고 있는가?', '장애 발생 시 절차에 따라 조치하고 장애조치보고서 등을 통하여 장애조치내역을 기록하여 관리하고 있는가?', '심각도가 높은 장애의 경우 원인분석을 통한 재발방지 대책을 마련하고 있는가?'];[];['성능 및 용량 모니터링 절차', '성능 및 용량 모니터링 증거자료(내부보고 결과 등)', '장애대응 절차', '장애조치보고서'];['사례 1 : 성능 및 용량 관리를 위한 대상별 요구사항(임계치 등)을 정의하고 있지 않거나 정기 점검보고서 등에 기록하고 있지 않아 현황을 파악할 수 없는 경우', '사례 2 : 성능 또는 용량 기준을 초과하였으나 관련 검토 및 후속조치방안 수립·이행이 이루어지고 있지 않은 경우', '사례 3 : 전산장비 장애대응절차를 수립하고 있으나 네트워크 구성 및 외주업체 변경 등의 내·외부 환경변화가 적절히 반영되어 있지 않은 경우', '사례 4 : 장애처리절차와 장애유형별 조치방법 간 일관성이 없거나 예상소요시간 산정에 대한 근거가 부족하여 신속·정확하고 체계적인 대응이 어려운 경우'];PASS;Autoscaling group vuln-asg-app has multiple availability zones.;arn:aws:autoscaling:ap-northeast-2:311278774159:autoScalingGroup:fae71c7e-e392-4ba6-84aa-132f964c660b:autoScalingGroupName/vuln-asg-app;vuln-asg-app;autoscaling_group_multiple_az;False
aws;ISMS-P 인증은 한국인터넷진흥원(KISA)이 제정한 정보보호 및 개인정보보호 관리체계를 기반으로, 독립적인 심사기관이 기업이나 조직의 보안 및 개인정보 보호 활동이 인증 기준을 충족하는지 평가한 후 인증을 부여하는 제도입니다. 이를 통해 기업과 기관은 제공하는 서비스에 대한 대중의 신뢰를 높이고, 점점 복잡해지는 사이버 위협에 효과적으로 대응할 수 있습니다. 또한, ISMS-P는 정보보호와 개인정보 보호를 체계적으로 수립하고 운영할 수 있는 포괄적인 지침을 제공합니다.;311278774159;ap-northeast-2;2025-07-09 05:17:29.653859;2.12.1;재해·재난 대비 안전조치;자연재해, 통신·전력 장애, 해킹 등 조직의 핵심 서비스 및 시스템의 운영 연속성을 위협할 수 있는 재해 유형을 식별하고, 유형별 예상 피해규모 및 영향을 분석하여야 한다. 또한 복구 목표시간, 복구 목표시점을 정의하고 복구 전략 및 대책, 비상시 복구 조직, 비상연락체계, 복구 절차 등 재해 복구체계를 구축하여야 한다.;2. 보호대책 요구사항;2.12. 재해 복구;2.12.1 재해·재난 대비 안전조치;['Auto Scaling 그룹이 여러 가용 영역(AZ)에 배치되어 인스턴스 장애 시에도 자동 복구가 가능하도록 보장'];['Auto Scaling 그룹에 최소 2개 이상의 서로 다른 AZ에 인스턴스를 배치하도록 설정'];['조직의 핵심 서비스(업무) 연속성을 위협할 수 있는 IT 재해 유형을 식별하고, 유형별 피해규모 및 업무에 미치는 영향을 분석하여 핵심 IT 서비스(업무) 및 시스템을  식별하고 있는가?', '핵심 IT 서비스 및 시스템의 중요도 및 특성에 따른 복구 목표시간, 복구 목표시점을 정의하고 있는가?', '재해·재난 발생 시에도 핵심 서비스 및 시스템의 연속성을 보장할 수 있도록 복구 전략 및 대책, 비상시 복구 조직, 비상연락체계, 복구 절차 등 재해 복구 계획을 수립 및 이행하고 있는가?'];['개인정보 보호법 제29조(안전조치의무)', '개인정보의 안전성 확보조치 기준 제11조(재해·재난 대비 안전조치)'];['IT 재해 복구 지침·절차', 'IT 재해 복구 계획(RTO, RPO 정의 포함)', '비상연락망', '개인정보처리시스템 위기대응 매뉴얼'];['사례 1 : IT 재해 복구 절차서 내에 IT 재해 복구 조직 및 역할 정의, 비상연락체계, 복구 절차 및 방법 등 중요한 내용이 누락되어 있는 경우', '사례 2 : 비상사태 발생 시 정보시스템의 연속성 확보 및 피해 최소화를 위하여 백업센터를 구축하여 운영하고 있으나, 관련 정책에 백업센터를 활용한 재해 복구 절차 등이 수립되어 있지 않아 재해 복구 시험 및 복구가 효과적으로 진행되기 어려운 경우', '사례 3 : 서비스 운영과 관련된 일부 중요 시스템에 대한 복구 목표시간이 정의되어 있지 않으며, 이에 대한 적절한 복구 대책을 마련하고 있지 않은 경우', '사례 4 : 재해 복구 관련 지침서 등에 IT 서비스 또는 시스템에 대한 복구 우선순위, 복구 목표시간, 복구 목표시점 등이 정의되어 있지 않은 경우', '사례 5 : 현실적 대책 없이 복구 목표시간을 과도 또는 과소하게 설정하고 있거나, 복구 목표시점과 백업정책(대상, 주기 등)이 적절히 연계되지 않아 복구 효과성을 보장할 수 없는 경우'];PASS;Autoscaling group vuln-asg-app has multiple availability zones.;arn:aws:autoscaling:ap-northeast-2:311278774159:autoScalingGroup:fae71c7e-e392-4ba6-84aa-132f964c660b:autoScalingGroupName/vuln-asg-app;vuln-asg-app;autoscaling_group_multiple_az;False
