AUTH_METHOD;TIMESTAMP;ACCOUNT_UID;ACCOUNT_NAME;ACCOUNT_EMAIL;ACCOUNT_ORGANIZATION_UID;ACCOUNT_ORGANIZATION_NAME;ACCOUNT_TAGS;FINDING_UID;PROVIDER;CHECK_ID;CHECK_TITLE;CHECK_TYPE;STATUS;STATUS_EXTENDED;MUTED;SERVICE_NAME;SUBSERVICE_NAME;SEVERITY;RESOURCE_TYPE;RESOURCE_UID;RESOURCE_NAME;RESOURCE_DETAILS;RESOURCE_TAGS;PARTITION;REGION;DESCRIPTION;RISK;RELATED_URL;REMEDIATION_RECOMMENDATION_TEXT;REMEDIATION_RECOMMENDATION_URL;REMEDIATION_CODE_NATIVEIAC;REMEDIATION_CODE_TERRAFORM;REMEDIATION_CODE_CLI;REMEDIATION_CODE_OTHER;COMPLIANCE;CATEGORIES;DEPENDS_ON;RELATED_TO;NOTES;PROWLER_VERSION
profile: None;2025-07-09 05:17:29.653859;311278774159;;;;;;prowler-aws-accessanalyzer_enabled-311278774159-ap-northeast-2-analyzer/unknown;aws;accessanalyzer_enabled;Check if IAM Access Analyzer is enabled;IAM;FAIL;IAM Access Analyzer in account 311278774159 is not enabled.;False;accessanalyzer;;low;Other;arn:aws:accessanalyzer:ap-northeast-2:311278774159:analyzer/unknown;analyzer/unknown;;;aws;ap-northeast-2;Check if IAM Access Analyzer is enabled;AWS IAM Access Analyzer helps you identify the resources in your organization and accounts, such as Amazon S3 buckets or IAM roles, that are shared with an external entity. This lets you identify unintended access to your resources and data, which is a security risk. IAM Access Analyzer uses a form of mathematical analysis called automated reasoning, which applies logic and mathematical inference to determine all possible access paths allowed by a resource policy.;https://docs.aws.amazon.com/IAM/latest/UserGuide/what-is-access-analyzer.html;Enable IAM Access Analyzer for all accounts, create analyzer and take action over it is recommendations (IAM Access Analyzer is available at no additional cost).;https://docs.aws.amazon.com/IAM/latest/UserGuide/what-is-access-analyzer.html;;;aws accessanalyzer create-analyzer --analyzer-name <NAME> --type <ACCOUNT|ORGANIZATION>;;CIS-1.4: 1.20 | CIS-1.5: 1.20 | KISA-ISMS-P-2023: 2.5.6, 2.6.4, 2.8.1, 2.8.2 | CIS-2.0: 1.20 | KISA-ISMS-P-2023-korean: 2.5.6, 2.6.4, 2.8.1, 2.8.2 | KISA-ISMS-P-2023-korean(whs3_cloudguardian): 2.5.6, 2.6.4, 2.8.1, 2.5.6, 2.6.4, 2.8.1 | CIS-5.0: 1.19 | AWS-Account-Security-Onboarding: Enabled security services, Create analyzers in each active regions, Verify that events are present in SecurityHub aggregated view | CIS-3.0: 1.20 | ProwlerThreatScore-1.0: 1.2.6 | ISO27001-2022: A.8.3 | CIS-4.0.1: 1.20 | NIS2: 3.2.3.e, 11.1.1, 11.2.1, 11.2.2.e;;;;;5.9.0
profile: None;2025-07-09 05:17:29.653859;311278774159;;;;;;prowler-aws-account_maintain_current_contact_details-311278774159-ap-northeast-2-311278774159;aws;account_maintain_current_contact_details;Maintain current contact details.;IAM;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;False;account;;medium;AwsAccount;arn:aws:iam::311278774159:root;311278774159;;;aws;ap-northeast-2;Maintain current contact details.;Ensure contact email and telephone details for AWS accounts are current and map to more than one individual in your organization. An AWS account supports a number of contact details, and AWS will use these to contact the account owner if activity judged to be in breach of Acceptable Use Policy. If an AWS account is observed to be behaving in a prohibited or suspicious manner, AWS will attempt to contact the account owner by email and phone using the contact details listed. If this is unsuccessful and the account behavior needs urgent mitigation, proactive measures may be taken, including throttling of traffic between the account exhibiting suspicious behavior and the AWS API endpoints and the Internet. This will result in impaired service to and from the account in question.;;Using the Billing and Cost Management console complete contact details.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;;;No command available.;https://docs.prowler.com/checks/aws/iam-policies/iam_18-maintain-contact-details#aws-console;CIS-1.4: 1.1 | CIS-1.5: 1.1 | KISA-ISMS-P-2023: 2.1.3 | CIS-2.0: 1.1 | KISA-ISMS-P-2023-korean: 2.1.3 | KISA-ISMS-P-2023-korean(whs3_cloudguardian): 2.1.3, 2.1.3 | AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | CIS-5.0: 1.1 | AWS-Account-Security-Onboarding: Billing, emergency, security contacts | CIS-3.0: 1.1 | ENS-RD2022: op.ext.7.aws.am.1 | ISO27001-2022: A.5.5 | CIS-4.0.1: 1.1 | NIS2: 2.2.3, 3.5.3.a, 5.1.7.b;;;;;5.9.0
profile: None;2025-07-09 05:17:29.653859;311278774159;;;;;;prowler-aws-account_maintain_different_contact_details_to_security_billing_and_operations-311278774159-ap-northeast-2-311278774159;aws;account_maintain_different_contact_details_to_security_billing_and_operations;Maintain different contact details to security, billing and operations.;IAM;FAIL;SECURITY, BILLING and OPERATIONS contacts not found or they are not different between each other and between ROOT contact.;False;account;;medium;AwsAccount;arn:aws:iam::311278774159:root;311278774159;;;aws;ap-northeast-2;Maintain different contact details to security, billing and operations.;Ensure contact email and telephone details for AWS accounts are current and map to more than one individual in your organization. An AWS account supports a number of contact details, and AWS will use these to contact the account owner if activity judged to be in breach of Acceptable Use Policy. If an AWS account is observed to be behaving in a prohibited or suspicious manner, AWS will attempt to contact the account owner by email and phone using the contact details listed. If this is unsuccessful and the account behavior needs urgent mitigation, proactive measures may be taken, including throttling of traffic between the account exhibiting suspicious behavior and the AWS API endpoints and the Internet. This will result in impaired service to and from the account in question.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;Using the Billing and Cost Management console complete contact details.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;;;;https://docs.prowler.com/checks/aws/iam-policies/iam_18-maintain-contact-details#aws-console;KISA-ISMS-P-2023: 2.1.3 | KISA-ISMS-P-2023-korean: 2.1.3 | KISA-ISMS-P-2023-korean(whs3_cloudguardian): 2.1.3, 2.1.3 | ISO27001-2022: A.5.6;;;;;5.9.0
profile: None;2025-07-09 05:17:29.653859;311278774159;;;;;;prowler-aws-account_security_contact_information_is_registered-311278774159-ap-northeast-2-311278774159;aws;account_security_contact_information_is_registered;Ensure security contact information is registered.;IAM;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;False;account;;medium;AwsAccount;arn:aws:iam::311278774159:root;311278774159;;;aws;ap-northeast-2;Ensure security contact information is registered.;AWS provides customers with the option of specifying the contact information for accounts security team. It is recommended that this information be provided. Specifying security-specific contact information will help ensure that security advisories sent by AWS reach the team in your organization that is best equipped to respond to them.;;Go to the My Account section and complete alternate contacts.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;;;No command available.;https://docs.prowler.com/checks/aws/iam-policies/iam_19#aws-console;CIS-1.4: 1.2 | CIS-1.5: 1.2 | AWS-Foundational-Security-Best-Practices: Account.1 | KISA-ISMS-P-2023: 2.1.3, 2.2.1 | CIS-2.0: 1.2 | KISA-ISMS-P-2023-korean: 2.1.3, 2.2.1 | KISA-ISMS-P-2023-korean(whs3_cloudguardian): 2.1.3, 2.2.1, 2.1.3, 2.2.1 | AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | CIS-5.0: 1.2 | PCI-4.0: A1.2.3.1 | AWS-Account-Security-Onboarding: Billing, emergency, security contacts | CIS-3.0: 1.2 | ENS-RD2022: op.ext.7.aws.am.1 | ISO27001-2022: A.5.5 | CIS-4.0.1: 1.2 | NIS2: 1.1.1.a, 1.2.3, 2.2.1, 3.1.2.d, 3.5.3.a, 5.1.7.b;;;;;5.9.0
profile: None;2025-07-09 05:17:29.653859;311278774159;;;;;;prowler-aws-account_security_questions_are_registered_in_the_aws_account-311278774159-ap-northeast-2-311278774159;aws;account_security_questions_are_registered_in_the_aws_account;Ensure security questions are registered in the AWS account.;IAM;MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;False;account;;medium;AwsAccount;arn:aws:iam::311278774159:root;311278774159;;;aws;ap-northeast-2;Ensure security questions are registered in the AWS account.;The AWS support portal allows account owners to establish security questions that can be used to authenticate individuals calling AWS customer service for support. It is recommended that security questions be established. When creating a new AWS account a default super user is automatically created. This account is referred to as the root account. It is recommended that the use of this account be limited and highly controlled. During events in which the root password is no longer accessible or the MFA token associated with root is lost/destroyed it is possible through authentication using secret questions and associated answers to recover root login access.;;Login as root account and from My Account configure Security questions.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-security-challenge.html;;;No command available.;https://docs.prowler.com/checks/aws/iam-policies/iam_15;CIS-1.4: 1.3 | CIS-1.5: 1.3 | KISA-ISMS-P-2023: 2.1.3 | CIS-2.0: 1.3 | KISA-ISMS-P-2023-korean: 2.1.3 | KISA-ISMS-P-2023-korean(whs3_cloudguardian): 2.1.3, 2.1.3 | AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | CIS-3.0: 1.3 | ENS-RD2022: op.ext.7.aws.am.1 | CIS-4.0.1: 1.3;;;;;5.9.0
profile: None;2025-07-09 05:17:29.653859;311278774159;;;;;;prowler-aws-autoscaling_group_multiple_az-311278774159-ap-northeast-2-vuln-asg-app;aws;autoscaling_group_multiple_az;EC2 Auto Scaling Group should use multiple Availability Zones;;PASS;Autoscaling group vuln-asg-app has multiple availability zones.;False;autoscaling;;medium;AwsAutoScalingAutoScalingGroup;arn:aws:autoscaling:ap-northeast-2:311278774159:autoScalingGroup:fae71c7e-e392-4ba6-84aa-132f964c660b:autoScalingGroupName/vuln-asg-app;vuln-asg-app;;Name=vuln-app-server;aws;ap-northeast-2;EC2 Auto Scaling Group should use multiple Availability Zones;In case of a failure in a single Availability Zone, the Auto Scaling Group will not be able to launch new instances to replace the failed ones.;https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-add-availability-zone.html;Configure multiple Availability Zones for EC2 Auto Scaling Group;https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-add-availability-zone.html;;;aws autoscaling update-auto-scaling-group;https://www.trendmicro.com/cloudoneconformity/knowledge-base/aws/AutoScaling/multiple-availability-zones.html;AWS-Foundational-Security-Best-Practices: AutoScaling.2 | KISA-ISMS-P-2023: 2.9.2, 2.12.1, 2.12.2 | KISA-ISMS-P-2023-korean: 2.9.2, 2.12.1, 2.12.2 | KISA-ISMS-P-2023-korean(whs3_cloudguardian): 2.9.2, 2.12.1, 2.12.2, 2.9.2, 2.12.1, 2.12.2 | ENS-RD2022: mp.s.4.aws.as.1 | ISO27001-2022: A.8.14;redundancy;;;;5.9.0
profile: None;2025-07-09 05:17:29.653859;311278774159;;;;;;prowler-aws-autoscaling_group_multiple_az-311278774159-ap-northeast-2-vuln-asg-web;aws;autoscaling_group_multiple_az;EC2 Auto Scaling Group should use multiple Availability Zones;;PASS;Autoscaling group vuln-asg-web has multiple availability zones.;False;autoscaling;;medium;AwsAutoScalingAutoScalingGroup;arn:aws:autoscaling:ap-northeast-2:311278774159:autoScalingGroup:a041d261-721f-4452-ba3f-d8b985db3388:autoScalingGroupName/vuln-asg-web;vuln-asg-web;;Name=vuln-web-server;aws;ap-northeast-2;EC2 Auto Scaling Group should use multiple Availability Zones;In case of a failure in a single Availability Zone, the Auto Scaling Group will not be able to launch new instances to replace the failed ones.;https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-add-availability-zone.html;Configure multiple Availability Zones for EC2 Auto Scaling Group;https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-add-availability-zone.html;;;aws autoscaling update-auto-scaling-group;https://www.trendmicro.com/cloudoneconformity/knowledge-base/aws/AutoScaling/multiple-availability-zones.html;AWS-Foundational-Security-Best-Practices: AutoScaling.2 | KISA-ISMS-P-2023: 2.9.2, 2.12.1, 2.12.2 | KISA-ISMS-P-2023-korean: 2.9.2, 2.12.1, 2.12.2 | KISA-ISMS-P-2023-korean(whs3_cloudguardian): 2.9.2, 2.12.1, 2.12.2, 2.9.2, 2.12.1, 2.12.2 | ENS-RD2022: mp.s.4.aws.as.1 | ISO27001-2022: A.8.14;redundancy;;;;5.9.0
profile: None;2025-07-09 05:17:29.653859;311278774159;;;;;;prowler-aws-backup_plans_exist-311278774159-ap-northeast-2-aws/efs/automatic-backup-plan;aws;backup_plans_exist;Ensure that there is at least one AWS Backup plan;Recover | Resilience | Backup;PASS;At least one Backup Plan exists: aws/efs/automatic-backup-plan.;False;backup;;low;AwsBackupBackupPlan;arn:aws:backup:ap-northeast-2:311278774159:backup-plan:aws/efs/73d922fb-9312-3a70-99c3-e69367f9fdad;aws/efs/automatic-backup-plan;;;aws;ap-northeast-2;This check ensures that there is at least one backup plan in place.;Without a backup plan, an organization may be at risk of losing important data due to accidental deletion, system failures, or natural disasters. This can result in significant financial and reputational damage for the organization.;https://docs.aws.amazon.com/aws-backup/latest/devguide/about-backup-plans.html;Use AWS Backup to create backup plans for your critical data and services.;https://docs.aws.amazon.com/aws-backup/latest/devguide/about-backup-plans.html;;;aws backup create-backup-plan --backup-plan <backup_plan_name> --backup-plan-rule <backup_rule_name>;;MITRE-ATTACK: T1485, T1486 | KISA-ISMS-P-2023: 2.9.3, 2.12.1, 2.12.2 | KISA-ISMS-P-2023-korean: 2.9.3, 2.12.1, 2.12.2 | KISA-ISMS-P-2023-korean(whs3_cloudguardian): 2.9.3, 2.12.1, 2.12.2, 2.9.3, 2.12.1, 2.12.2 | ENS-RD2022: mp.info.6.aws.bcku.1 | AWS-Foundational-Technical-Review: BAR-001 | ISO27001-2022: A.8.13 | NIS2: 2.1.2.d, 2.1.2.j, 3.6.2, 4.1.1, 4.1.2.f, 4.1.2.g, 4.1.3, 4.1.4, 4.2.2.b, 12.1.2.c, 12.2.2.b;;;;;5.9.0
profile: None;2025-07-09 05:17:29.653859;311278774159;;;;;;prowler-aws-backup_reportplans_exist-311278774159-ap-northeast-2-311278774159;aws;backup_reportplans_exist;Ensure that there is at least one AWS Backup report plan;Recover | Resilience | Backup;FAIL;No Backup Report Plan exist.;False;backup;;low;AwsBackupBackupPlan;arn:aws:backup:ap-northeast-2:311278774159:report-plan;311278774159;;;aws;ap-northeast-2;This check ensures that there is at least one backup report plan in place.;Without a backup report plan, an organization may lack visibility into the success or failure of backup operations.;https://docs.aws.amazon.com/aws-backup/latest/devguide/create-report-plan-console.html;Use AWS Backup to create backup report plans that provide visibility into the success or failure of backup operations.;https://docs.aws.amazon.com/aws-backup/latest/devguide/create-report-plan-console.html;;;aws backup create-report-plan --report-plan-name <report-plan-name> --report-delivery-channel <value> --report-setting <value>;;KISA-ISMS-P-2023: 2.9.3, 2.12.1, 2.12.2 | KISA-ISMS-P-2023-korean: 2.9.3, 2.12.1, 2.12.2 | KISA-ISMS-P-2023-korean(whs3_cloudguardian): 2.9.3, 2.12.1, 2.12.2, 2.9.3, 2.12.1, 2.12.2 | ENS-RD2022: mp.info.6.aws.bcku.1 | AWS-Foundational-Technical-Review: BAR-001 | ISO27001-2022: A.8.13 | NIS2: 2.1.2.j, 3.6.2, 4.1.1, 4.1.2.f, 4.1.2.g, 4.1.4;;;;;5.9.0
profile: None;2025-07-09 05:17:29.653859;311278774159;;;;;;prowler-aws-backup_vaults_encrypted-311278774159-ap-northeast-2-Default;aws;backup_vaults_encrypted;Ensure that AWS Backup vaults are encrypted with AWS KMS;Software and Configuration Checks/AWS Security Best Practices;PASS;Backup Vault Default is encrypted at rest.;False;backup;;medium;AwsBackupBackupVault;arn:aws:backup:ap-northeast-2:311278774159:backup-vault:Default;Default;;;aws;ap-northeast-2;This check ensures that AWS Backup vaults are encrypted with AWS KMS.;Without encryption using AWS KMS, an organization's backup data may be at risk of unauthorized access, which can lead to data breaches and other security incidents.;https://docs.aws.amazon.com/aws-backup/latest/devguide/encryption.html;Use AWS KMS to encrypt your AWS Backup vaults and backup data.;https://docs.aws.amazon.com/aws-backup/latest/devguide/encryption.html;;;aws backup update-backup-vault --backup-vault-name <backup_vault_name> --encryption-key-arn <kms_key_arn>;https://www.trendmicro.com/cloudoneconformity/knowledge-base/aws/Athena/encrypted-with-cmk.html;KISA-ISMS-P-2023: 2.7.1, 2.9.3 | KISA-ISMS-P-2023-korean: 2.7.1, 2.9.3 | KISA-ISMS-P-2023-korean(whs3_cloudguardian): 2.7.1, 2.9.3, 2.7.1, 2.9.3 | AWS-Foundational-Technical-Review: BAR-001 | RBI-Cyber-Security-Framework: annex_i_1_3 | ISO27001-2022: A.8.24 | NIS2: 3.6.2, 4.1.2.g, 4.2.2.b, 4.3.2.c, 9.2.c.vi;;;;;5.9.0
